ID,Term,Chinese,Language
8848,Stimmumfang {Ger.},聲部音域；聲音音域,德
8849,Stimmung {Ger.},情調，氣氛；協調，調音,德
8850,Stimmwechsel {Ger.},變聲,德
8851,sting,振動音,英
8852,sting cymbal,刺鈸,英
8853,stingendo {It.},漸慢而弱；逐漸消失,義
8854,stinguendo {It.},漸慢而弱；逐漸消失,義
8855,stiracchiando {It.},拖延；漸慢,義
8856,stiracchiato {It.},拖延；漸慢,義
8857,stirando {It.},拖延；漸慢,義
8858,stirato {It.},拖延；漸慢,義
8859,stochastic music,隨機音樂,英
8860,Stochastische Musik {Ger.},隨機音樂,德
8861,stock arrange ( ment ),編曲分譜集,英
8862,Stockend {Ger.},中斷；停頓,德
8863,stop,音栓；按弦（絃）；塞奏｛管樂｝,英
8864,stopped,閉奏,英
8865,stopped note,閉奏音,英
8866,stopping,按弦（絃）；塞奏｛管樂｝,英
8867,storia della musica {It.},音樂史,義
8868,stornello {It.},托斯卡納風格歌曲,義
8869,stracciacalando {It.],喋喋不休的；饒舌的,義
8870,straccicalando {It.},拖延；漸慢,義
8871,straccinato {It.},拉出來,義
8872,straff {Ger.},緊的,德
8873,straight,照譜演奏,英
8874,stråkharpa {Se.},有弓豎琴,瑞典
8875,stranka,斯特蘭卡笛,英
8876,strascinando {It.},拖延；漸慢,義
8877,strascinato {It.},拖延的,義
8878,Strathspey,史塔斯培舞曲｛蘇格蘭｝,英
8879,stravagante {It.},奇異的,義
8880,stravaganza {It.},奇異曲,義
8881,Street piano,手搖鋼琴,英
8882,Streichinstrument {Ger.},擦弦樂器,德
8883,Streichklavier {Ger.},有弓鍵盤樂器,德
8884,Streichorchester {Ger.},弦樂團,德
8885,strenge Fuge {Ger.},嚴格復格,德
8886,Strenger Kanon {Ger.},嚴格卡農,德
8887,strenger Kontrapunkt {Ger.},嚴格對位,德
8888,strepitoso {It.},喧鬧的,義
8889,stress,重音,英
8890,stretto by augmentation,增值緊接進入,英
8891,stretto by diminution,減值緊接進入,英
8892,stretto by inversion,反向緊接進入,英
8893,stretto moestrale,巧妙緊接進入,英
8894,stretto {It.},緊接進入｛復格｝；緊接段；加速的；加緊的,義
8895,strict canon,嚴格卡農,英
8896,strict counterpoint,嚴格對位,英
8897,strict double counterpoint,嚴格複對位,英
8898,strict fugue,嚴格復格,英
8899,strict imitation,嚴格模仿,英
8900,stride modulation,跨越轉調,英
8901,stride relation,跨越關係,英
8902,Stride(piano),跨奏（爵士鋼琴）,英
8903,string,弦（絃）,英
8904,string duet,弦（絃）樂二重奏,英
8905,string duo,弦樂二重奏,英
8906,string instrument,絃樂器,英
8907,string orchestra,弦（絃）樂團,英
8908,string quartet,弦（絃）樂四重奏,英
8909,string quintet,弦（絃）樂五重奏,英
8910,string trio,弦（絃）樂三重奏,英
8911,string-toned stops,弦音音栓,英
8912,stringed instrument,弦樂器,英
8913,stringed instruments,弦（絃）樂器,英
8914,stringendo {It.},漸快；加緊的,義
8915,strings,弦（絃）樂器,英
8916,strisciando {It.},滑動地；滑奏；擦奏｛擊樂｝,義
8917,strisciato {It.},平滑的,義
8918,stroboscope,轉速測量器,英
8919,Stroh violin,史特洛小提琴,英
8920,stromento {It.},樂器,義
8921,strong accent,強重音,英
8922,strong chord of the key,主要和絃,英
8923,Strophenlied {Ger.},反復歌；詩節式歌曲,德
8924,strophic bass,反復低音,英
8925,strophic song,反復歌；詩節式歌曲,英
8926,struck string instrument,擊弦樂器,英
8927,structure,結構,英
8928,strumentazione {It.},配器法,義
8929,Strumente a percussione {It.},擊樂器,義
8930,strumenti a tastriera {It.},鍵盤樂器,義
8931,strumenti d`ottone {It.},銅管樂器,義
8932,strumentini di legno {It.},木管樂器,義
8933,strumento a corda {It.},弦樂器,義
8934,strumento a fiato {It.},管樂器,義
8935,strumento ad ancia {It.},簧樂器,義
8936,strumento d'acciaio,軍樂鐵琴,義
8937,strumento elettronico {It.},電子樂器,義
8938,strumento {It.},樂器,義
8939,strutt {Amer.},闊步舞,美
8940,Stück {Ger.},小曲；小品,德
8941,student's fugue,見習復格,英
8942,study,練習曲,英
8943,Stufe {Ger.},音級,德
8944,Stufenschritt {Ger.},級進,德
8945,Stundenoffizium {Ger.},日課,德
8946,Sturm und Drang {Ger.},狂飆運動,德
8947,stürmend {Ger.},如暴風雨的,德
8948,stürmisch {Ger.},如暴風的,德
8949,Stürtze {Ger.},鐘形口｛管樂器｝,德
8950,Stürze {Ger.},號角口,德
8951,style,風格,英
8952,style analysis,風格分析,英
8953,style brisé {Fr.},琶音風格,法
8954,style galant {Fr.},優雅風格,法
8955,style Palestrinien {Fr.},帕勒斯特利納風格,法
8956,suave {Sp.},柔和的,西
8957,sub-bass clef,下低音譜號,英
8958,sub-octave coupler,低八度聯鍵音栓（管風琴）,英
8959,Subbassschlüssel {Ger.},下低音譜號,德
8960,subcontra-octave,下二點八度(音域),英
8961,subdiapente {Gr.},下五度音程,希
8962,subdominant,下屬音,英
8963,subdominant harmony,下屬和弦,英
8964,subdominant key,下屬調,英
8965,subdominant seventh,下屬七和弦（絃）,英
8966,subdominant triad,下屬三和弦,英
8967,Subdominante {Ger.},下屬音,德
8968,Subdominantharmonie {Ger.},下屬和弦,德
8969,Subdominantparallele {Ger.},上主音,德
8970,Subdominanttonart {Ger.},下屬音,德
8971,subharmonics,下行泛音,英
8972,subito {It.},立即的,義
8973,subject,主題,英
8974,subject theme,主題,
8975,Subkontra-Oktave {Ger.},下二點八度(音域),德
8976,submediant,下中音,英
8977,submediant chord,下中音和弦,英
8978,submediant seventh,下中七音弦（絃）,英
8979,submediant triad,下中三和弦（絃）,英
8980,Submediante {Ger.},下中音,德
8981,submotive,副動機,英
8982,subordinate chord,副和聲；副和弦（絃）,英
8983,subordinate chord of the seventh,副七和弦（絃）,英
8984,subordinate scale-step,副音,英
8985,subordinate triad,副三和弦（絃）,英
8986,substitution chord,替代和弦,英
8987,subtonic,下主音,英
8988,successive counterpoint,連續對位,英
8989,successive fifths,連續五度,英
8990,successive leaps,連續跳進,英
8991,successive octaves,連續八度,英
8992,successive passing-notes,連續經過音,英
8993,successive sixths,連續六度,英
8994,successive thirds,連續三度,英
8995,sucu-sucu {Sp.},蘇固－蘇固舞曲,西
8996,sudden modulation,突然轉調,英
8997,sudrophone,蘇德羅號,英
8998,suffocato {It.},窒息的,義
8999,suite {Fr.},組曲,英˙法
9000,Suite {Ger.},組曲,德
9001,suivez {Fr.},跟隨獨奏（唱）,法
9002,sujet principal {Fr.},主要主題,法
9003,sul G,G 弦（絃）奏,義
9004,sul ponticello {It.},近琴橋奏；近琴馬奏,義
9005,sul tasto {It.},近指板奏,義
9006,suling {Id.},蘇林笛,印尼
9007,sulla tastiera {It.},近指板奏,義
9008,Summation tone,加音,英
9009,Summstimme {Ger.},哼唱；閉口唱,德
9010,suo {It.},本來的,義
9011,suonare a prima vista {It.},視奏,義
9012,suoni armonici {It.},泛音,義
9013,suoni naturali {It.},自然音,義
9014,suono armonico,泛音；倍音,義
9015,suono di combinazione {It.},合成音,義
9016,suono estraneo all'armonia {It.},和聲外音；非和弦（絃）音,義
9017,suono fondamentale {It.},基音,義
9018,suòno fondamentale {It.},根音；基音,義
9019,suono pedale {It.},基音；持續音,義
9020,suono puro {It.},純音,義
9021,suono {It.},聲音,義
9022,super-octave coupler,高八度聯鍵音栓（管風琴）,英
9023,superbo {It.},壯麗的；高傲的,義
9024,supertonic,上主音,英
9025,supertonic seventh,上主七和弦（絃）,英
9026,supertonic seventh chord,上主七和弦（絃）,英
9027,supertonic triad,上主三和弦（絃）,英
9028,supplementary tone,加音,英
9029,suppliant {Fr.},哀求的；懇求的,法
9030,supprimer {Fr.},取消,法
9031,Supprimez la sourdine {Fr.},加弱音器,法
9032,supprimez {Fr.},取消,法
9033,sur la touche {Fr.},近指板奏,法
9034,sur le chevalet {Fr.},近琴橋奏；近琴馬奏,法
9035,surdité musicale {Fr.},音痴；音盲,法
9036,sus-tonique {Fr.},上主音,法
9037,Suspended cadence,延留終止,英
9038,suspended cymbal,吊鈸,英
9039,suspended fourth,四度掛留音,英
9040,suspended ninth,九度掛留音,英
9041,suspended seventh,七度掛留音,英
9042,suspended sixth,六度掛留音,英
9043,suspension of chord,掛留和弦（絃）,英
9044,suspension of fourth,四度掛留音,英
9045,suspension of ninth,九度掛留音,英
9046,suspension of seventh,七度掛留音,英
9047,suspension of sixth,六度掛留音,英
9048,suspension simultanée {Fr.},雙掛留音,法
9049,suspension {Fr.},掛留音,英˙法
9050,süss {Ger.},甜蜜的；甜美的,德
9051,sussurrando {It.},輕聲細語的,義
9052,sussurrante {It.},輕聲細語的,義
9053,sustained part,持續音,英
9054,sustaining pedal,中踏瓣；持音踏瓣,英
9055,susurrando {It.},低語般的；低語的,義
9056,susurrante {It.},低語般的；低語的,義
9057,Sutufenschritt {Ger.},級進,德
9058,svegliando {It.},清醒的；活潑的；機警的,義
9059,svegliato {It.},清醒的；活潑的；機警的,義
9060,svelto {It.},靈敏的,義
9061,svolgimento {It.},發展部,義
9062,swell,力度變化裝置｛管風琴｝,英
9063,Swell box,增音箱；增音器,英
9064,swell organ,變音器管群（管風琴）,英
9065,Swing,搖擺樂,英
9066,switch,條刷,英
9067,syllabe {Fr.},音節,法
9068,syllabic style,音節風格,英
9069,syllable,音節,英
9070,syllable names,唱名,英
9071,Symbolism,象徵主義,英
9072,Symbolisme {Fr.},象徵主義,法
9073,Symbolismus {Ger.},象徵主義,德
9074,sympathetic resonance,同和共鳴,英
9075,sympathetic strings,共鳴弦（絃）,英
9076,sympathetic vibration,共振,英
9077,symphonia,交響曲；輪擦提琴（中世紀）,英
9078,symphonic jazz,交響爵士樂,英
9079,symphonic orchestra,交響樂團,英
9080,symphonic poem,交響詩,英
9081,symphonic suite,交響組曲,英
9082,symphonie concertante {Fr.},協奏交響曲,法
9083,symphonie {Fr.},交響曲,法
9084,Symphonie {Ger.},交響曲,德
9085,Symphoniekantate {Ger.},頌歌,德
9086,symphonische Dichtung {Ger.},交響詩,德
9087,symphony,交響曲,英
9088,symphony orchestra,交響樂團,英
9089,synaesthesia,共感覺；聯覺,英
9090,Synästhesie {Ger.},共感覺；聯覺,德
9091,syncopation,切分法；切分音,英
9092,syncope {Fr.},切分法；切分音,法
9093,synemmenon {Gr.},附加四音組,希
9094,synesthésie {Fr.},共感覺；聯覺,法
9095,Synkope {Ger.},切分法；切分音,德
9096,synonym,等音奏法,英
9097,synthesizer,合成器,英
9098,syntonic comma,共振音差,英
9099,syntonisches Komma {Ger.},共振音差,德
9100,Syrian Chant,敘利亞聖歌,英
9101,syrinx {Fr.},排簫，潘神簫,法
9102,Syrischer Kirchengesang {Ger.},敘利亞聖歌,德
9103,system,譜表,英
9104,systema teleion elasson {Gr.},小完全音階系統,希
9105,systema teleion meizon {Gr.},大完全音階組織,希
9106,systema teleion {Gr.},完全音階組織,希
9107,Système Boehm {Fr.},貝姆式鍵制,法
9108,Tabl,鼓,印度
9109,tabla,塔布拉鼓｛印度｝,印度
9110,tablature,指法譜,英
9111,table d'harmonie {Fr.},音響板；共鳴板,法
9112,table music,宴樂,英
9113,table {Fr.},面板,法
9114,tabor,塔波鼓,英
9115,tace {It.},停止演奏,義
9116,tacet {Lat.},停止演奏,拉
9117,tactus {Lat.},拍；打拍；全音符,拉
9118,Tafelklavier {Ger.},桌上型鍵琴,德
9119,Tafelmusik {Ger.},宴樂,德
9120,Tagelied {Ger.},晨歌,德
9121,tail,符尾,英
9122,Tail-pin,尾針｛琴腳｝,英
9123,tailgate {Amer.},尾門,美
9124,taille {Fr.},中音,法
9125,tailpiece,扣弦（絃）板；繫弦（絃）板,英
9126,Takasagozoku,高砂族（臺灣原住民）,英
9127,Takt {Ger.},小節；拍,德
9128,Taktart {Ger.},拍子,德
9129,Taktstock {Ger.},指揮棒,德
9130,Taktstrich {Ger.},小節線；縱線,德
9131,Taktteil {Ger.},拍,德
9132,Taktvorzeichen {Ger.},拍子記號,德
9133,Taktvorzeichnung {Ger.},拍子記號,德
9134,Tâla,塔拉拍節法｛印度｝,印度
9135,Tâlam,塔蘭鈸｛印度｝,印度
9136,talea {Lat.},反復節奏型,拉
9137,talharpa,塔爾哈帕琴,愛沙尼亞
9138,talon {Fr.},弓根,法
9139,tam-tam,鑼,英
9140,tamborito {Sp.},唐波里多舞曲,西
9141,tambour de basque {Fr.},鈴鼓,法
9142,tambour de bois {Fr.},木縫鼓,法
9143,tambour militaire {Fr.},軍鼓,法
9144,tambour {Fr.},鼓,法
9145,tambourin chinois {Fr.},中國花鼓,法
9146,tambourin de provence {Fr.},普羅旺斯鼓,法
9147,tambourin {Ger.},鈴鼓,德
9148,tambourine,鈴鼓,英
9149,tambrito,蕩波裏多舞曲（西班牙舞曲）,英
9150,tambrito {Sp.},唐波里多舞曲,西
9151,tambūrā {In.},丹布拉琴,印度
9152,tamburello {It.},鈴鼓,義
9153,Tamburin {Ger.},鈴鼓,德
9154,tamburino {It.},鈴鼓,義
9155,tamburo piccolo {It.},小鼓,義
9156,tamburo {It.},鼓,義
9157,tamburone {It.},大鼓,義
9158,tampon {Fr.},雙頭鼓槌；雙頭鼓棒,英˙法
9159,Tampon {Ger.},雙頭鼓槌；雙頭鼓棒,德
9160,tampone {It.},雙頭鼓槌；雙頭鼓棒,義
9161,Tan-kum {Kp.},揚琴,朝鮮
9162,tangent,楔槌｛古鋼琴｝,英
9163,Tangente {Ger.},楔槌｛古鋼琴｝,德
9164,Tango flamenco {Sp.},弗拉門哥探戈,西
9165,tango {Sp.},探戈舞曲｛阿根廷｝,西
9166,tanto {It.},如此；這樣多；許多,義
9167,tantum ergo {Lat.},聖體頌,拉
9168,Tanzmeistergeige {Ger.},袖珍小提琴,德
9169,Tanzmusik {Ger.},舞曲,德
9170,Tanzsuite {Ger.},舞蹈組曲,德
9171,tap box,木魚,英
9172,tapa {Sp.},面板,西
9173,tape recorder,磁帶錄音機,英
9174,tarantella {It.},塔朗泰拉舞曲,義
9175,tarbouka,塔布卡鼓,英
9176,tardamente {It.},漸慢；延緩的,義
9177,tardando {It.},降慢速度,義
9178,tardo {It.},慢的,義
9179,tárogató {Hu.},塔羅加托管（匈牙利嗩吶）,匈
9180,tartini's tones,塔悌尼音,英
9181,Taschengeige {Ger.},袖珍小提琴,德
9182,Taschenpartitur {Ger.},袖珍總譜,德
9183,Taste {Ger.},鍵；琴鍵,德
9184,Tasteninstrument {Ger.},鍵盤樂器,德
9185,tastiera {It.},鍵盤；指板,義
9186,tasto bianco {It.},白鍵,義
9187,tasto nero {It.},黑鍵,義
9188,tasto solo {It.},單音奏,義
9189,tasto {It.},琴鍵；指板,義
9190,tattoo,歸營號；熄燈號,英
9191,tavola armonica {It.},音響板；共鳴板,義
9192,Te Deum Laudamus {Lat.},感恩頌歌,拉
9193,Te Deum {Lat.},感恩頌歌,拉
9194,teatro dell'opera {It.},歌劇院,義
9195,tedesca {It.},德國舞曲,義
9196,tedesco {It.},德國舞曲,義
9197,telephone theory,電話論,英
9198,Telephontheorie {Ger.},電話論,德
9199,telyn,豎琴｛威爾斯｝,英
9200,tema {It.}{Sp.},主題,義˙西
9201,temperament,調律法；音律,英
9202,tempérament égal {Fr.},平均律,法
9203,tempérament inégal {Fr.},不等分平均律,法
9204,tempérament {Fr.},調律法；音律,法
9205,temperamento equabile {It.},平均律,義
9206,temperamento inequabile {It.},不等分平均律,義
9207,temperamento {It.},調律法；音律,義
9208,Temperatur {Ger.},調律法；音律,德
9209,tempered scale,平均律音階,英
9210,tempered tone,平均律音,英
9211,tempest,暴風雨,英
9212,tempestoso {It.},暴風雨似的,義
9213,temple block,中國木魚,英
9214,tempo,速度,義
9215,tempo a piacere {It.},任意速度,義
9216,Tempo ad libitum {It.},自由速度,義
9217,tempo alla breve {It.},二二拍子,義
9218,Tempo Bezeichnung {Ger.},速度記號,德
9219,tempo comodo {It.},適意速度,義
9220,tempo debole {It.},弱拍,義
9221,tempo di ballo {It.},舞蹈速度,義
9222,tempo di Gavotte {It.},嘉禾舞曲速度,義
9223,tempo di Marcia {It.},進行曲速度,義
9224,tempo di minuetto {It.},小步舞曲速度,義
9225,tempo di polacca {It.},波蘭舞曲速度｛義｝,義
9226,tempo di valse {It.},圓舞曲速度｛義｝,義
9227,tempo dispari {It.},奇數拍子,義
9228,tempo due-metà {It.},二二拍子,義
9229,tempo due-quarti {It.},二四拍子,義
9230,tempo giusto {It.},精確速度,義
9231,tempo mark,速度記號,英
9232,tempo ordinario {It.},適中速度,義
9233,tempo pari {It.},偶數拍子,義
9234,tempo primo {It.},初速度,義
9235,tempo quarttro-tre {It.},三四拍子,義
9236,tempo quattro-quarti {It.},四四拍子,義
9237,tempo rubato {It.},彈性速度；伸縮速度,義
9238,tempo tre-mezzi {It.},三二拍子,義
9239,tempo tre-quarti {It.},三四拍子,義
9240,tempo [misura] sei-ottavi {It.},六八拍子,義
9241,temporary modulation,臨時轉調,英
9242,temps binaire {Fr.},偶數拍子,法
9243,temps faible {Fr.},弱拍,法
9244,temps fort {Fr.},強拍,法
9245,temps musical {Fr.},音樂時間,法
9246,temps ternaire {Fr.},奇數拍子,法
9247,tempus imperfectum {Lat.},不完全節拍,拉
9248,tempus perfectum {Lat.},完全節拍,拉
9249,tempus {Lat.},速度｛拉｝,拉
9250,tendre {Fr.},柔和的,法
9251,tenebrae {Lat.},黑夜讚美詩,拉
9252,tenebroso {It.},黑暗的；陰沉的,義
9253,tenendo {It.},持續的,義
9254,teneramente {It.},溫柔的,義
9255,tenerezza {It.},親愛的；溫柔的,義
9256,tenero {It.},柔軟的,義
9257,teneroso {It.},柔軟的,義
9258,tenor,次中音；男高音,英
9259,tenor baritone,高男中音,英
9260,tenor C,次中音C,英
9261,tenor chiave,次中音譜號,義
9262,ténor clé {Fr.},次中音譜號,法
9263,tenor clef,次中音譜號,英
9264,tenor drum,次中音鼓,英
9265,tenor horn,次中音號,英
9266,tenor mass,定旋律彌撒曲,英
9267,tenor part,次中音部,英
9268,tenor saxhorn,次中音薩氏號,英
9269,tenor stave,次中音譜表,英
9270,tenor trombone,次中音長號,英
9271,tenor voice,男高音聲部；次中音聲部,英
9272,Tenor-bass posaune {Ger.},次中音－低音長號,德
9273,tenor-bass trombone,次中音－低音長號,英
9274,Tenorbasshorn {Ger.},粗管上低音號,德
9275,Tenorfagott {Ger.},小低音管,德
9276,tenoroon,小低音管,英
9277,Tenorposaune {Ger.},次中音長號,德
9278,Tenorschlüssel {Ger.},次中音譜號,德
9279,tension note,緊張音,英
9280,tenso {Fr.},辯論詩歌,法（普羅旺斯）
9281,tenth,十度,英
9282,tenuto {It.},持音,義
9283,teoria della composizione {It.},作曲法,義
9284,tepido {It.},不太熱烈的,義
9285,teponaztli,Ｈ形鼓,英
9286,ter sanctus {Lat.},三聖曲,拉
9287,terce,第三時課；午前禱,英
9288,terminatio {Lat.},結束句,拉
9289,termination,結束句,英
9290,terms of performance,演奏術語,英
9291,ternary,三段；三部分,英
9292,ternary form,三段體,英
9293,tertia {Lat.},第三時課；午前禱,拉
9294,tertian harmony,三度和聲,英
9295,Terz {Ger.},三度,德
9296,terza aumentata {It.},增三度,義
9297,terza diminuita {It.},減三度,義
9298,terza maggiore {It.},大三度,義
9299,terza minore {It.},小三度,義
9300,terza piccarda {It.},皮卡第三度,義
9301,terza {It.},三度,義
9302,Terzbau {Ger.},三度構成,德
9303,Terzdezime {Ger.},十三度,德
9304,Terzdezimenakkord {Ger.},十三和弦,德
9305,Terzenaufbau {Ger.},三度構成,德
9306,Terzett {Ger.},三重奏；三重唱,德
9307,terzetto {It.},三重奏；三重唱,義
9308,terzina {It.},三連音；三連音符,義
9309,Terzkanon {Ger.},三度卡農,德
9310,Terzquartakkord {Ger.},三四和弦,德
9311,Terzverwandtschaft {Ger.},三度近系關係,德
9312,tessitura {It.},音域,義
9313,testa {It.},符頭,義
9314,testo {It.},歌詞,義
9315,Tête {Fr.},符頭,法
9316,tetrachord,四音組,英
9317,tetrad false,假四音和絃,英
9318,tetrardus {Gr.},第四,希
9319,text,歌詞,英
9320,Textbuch {Ger.},腳本；劇本,德
9321,texte {Fr.},歌詞,法
9322,texture,織體；織度；結構形式,英
9323,The Beatles,披頭四,英
9324,The Five,五人組（五人樂派）,英
9325,theater music,劇場音樂,英
9326,Theatermusik {Ger.},劇場音樂,德
9327,Theatische Kiataloge {Ger.},主題目錄,德
9328,theatre organ,劇院管風琴,英
9329,Thema {Ger.},主題,德
9330,thematic development,主題發展,英
9331,thematic material,主題素材,英
9332,thematic transformation,主題變形,英
9333,Thematische Arbeit {Ger.},主題建構,德
9334,theme,主題,英
9335,theme and variations,主題變奏；主題變奏曲,英
9336,thème secondaire {Fr.},副主題,法
9337,theme song,主題曲,英
9338,thème {Fr.},主題,法
9339,theoebo,大魯特琴（提歐伯）,英
9340,théorbe {Fr.},大魯特琴,法
9341,théorie de la musique {Fr.},音樂理論,法
9342,Theorie der Gehörsempfindung {Ger.},聽覺論,德
9343,Theorie der Musik {Ger.},音樂理論,德
9344,théorie des fonctions {Fr.},功能理論,法
9345,théorie téléphonique {Fr.},電話論,法
9346,théories de l'audition {Fr.},聽覺論,法
9347,theories of hearing,聽覺論,英
9348,theory of composition,作曲法,英
9349,theory of functions,功能理論,英
9350,theory of harmony,和聲學,英
9351,Theremin,泰雷明｛電子樂器｝,英
9352,thesis {Gr.},下拍；強拍；起句,希
9353,third,三度,英
9354,third inversion,第三轉位,英
9355,third line,第三線,英
9356,third octave,第三個八度,英
9357,third part,第三部,英
9358,third scale-step,第三音級,英
9359,third space,第三間,英
9360,third species,第三類｛對位｝,英
9361,third stream,第三潮流（二十世紀音樂）,英
9362,third-relationship,三度近系關係,英
9363,thirteenth,十三度,英
9364,thirteenth chord,十三和弦,英
9365,thirteenth chromatic,變化十三和弦（絃）,英
9366,thirteenth dominant,屬十三和弦（絃）,英
9367,thirty-second note {Amer.},三十二分音符,美
9368,thirty-second rest {Amer.},三十二分休止符,美
9369,thirty-second-note rest {Amer.},三十二分休止符,美
9370,thirty-two foot stop,三十二呎音拴,英
9371,thoroughbass,持續低音；數字低音,英
9372,three accented octave,三點八度｛音域｝,英
9373,three notes to one,三對一,英
9374,three parts,三聲部,英
9375,three stringed double-bass,三弦低音提琴,英
9376,three voices,三聲部,英
9377,three-bar rhythm,三小節樂句,英
9378,three-bar sentence,三小節樂句,英
9379,Three-four meter [time],三四拍子,英
9380,three-line octave,三點八度｛音域｝,英
9381,three-movement form,三樂章曲式,英
9382,three-part canon,三部卡農,英
9383,three-part counterpoint,三部對位,英
9384,three-part form,三段式,英
9385,three-part fugue,三部復格,英
9386,three-part harmony,三部和聲,英
9387,three-part song,三段式歌曲,英
9388,three-two meter,三二拍子,英
9389,three-two time,三二拍子,英
9390,threnody,輓歌,英
9391,thrice-accented octave,三點八度｛音域｝,英
9392,throaty voice,喉音,英
9393,through-composed,貫穿式的,英
9394,through-composed song,貫穿式歌曲；應詞歌,英
9395,through-imitation,完全模仿,英
9396,thumb position,拇指把位,英
9397,thunder machine,雷聲器,英
9398,thunder stick,牛吼器,英
9399,tibia {Lat.},提比亞笛；提比亞管；提比亞音栓,拉
9400,Tie,連結線,英
9401,tied notes,連結音,英
9402,tief {Ger.},低的；深的,德
9403,tiento {Sp.},恬多曲,西
9404,tiepido {It.},不太熱烈的,義
9405,tierce augmentée {Fr.},增三度,法
9406,tierce de Picardie {Fr.},皮卡第三度,法
9407,tierce diminuée {Fr.},減三度,法
9408,tierce majeure {Fr.},大三度,法
9409,tierce mineure {Fr.},小三度,法
9410,tierce picardie,皮卡地三度,英
9411,tierce {Fr.},三度,法
9412,timbales {Sp.}{Fr.},鍋形鼓；定音鼓,英．西．法
9413,timballo {It.},鍋形鼓｛古用法｝,義
9414,timbre {Fr.},音色,法˙英
9415,timbrel,古鈴鼓,
9416,timbro {It.},音色,義
9417,time,節拍；時值；速度,英
9418,time error,時間誤差,英
9419,time perception,時間知覺,英
9420,time signature,拍子記號,英
9421,time value,時值,英
9422,time-beating,擊拍子,英
9423,time-counting,數拍子,英
9424,timido {It.}{Sp.},害羞的；膽怯的,義˙西
9425,timoroso {It.},畏縮的；害怕的；不安的,義
9426,timpan,汀邦琴,英
9427,timpani a pedale {It.},踏瓣定音鼓,義
9428,timpani coperti {It.},蒙布奏法,義
9429,timpani {It.},鍋形鼓；定音鼓,義
9430,timpano {It.},定音鼓,義
9431,Tin Pan Alley,錫鍋街,英
9432,tin whistle,高音哨笛；錫哨笛,英
9433,Tingkling {Ph.},竹竿舞,菲律賓
9434,tiorba {It.},大魯特琴　,義
9435,tiorba {Sp.},大魯特琴　,西
9436,tipofono {It.},音叉琴,義
9437,tira tutti {It.},全部拉出｛音栓｝,義
9438,tirade {Fr.},過渡音群,法
9439,tirando {It.},減慢速度,義
9440,tirando {Sp.},挑弦法,西
9441,tirare {It.},拉；下弓,義
9442,tirata {It.},過渡音群,義
9443,tiré {Fr.},下弓,法
9444,tirer {Fr.},拉；下弓,法
9445,tobend {Ger.},狂怒的；狂暴的,德
9446,toccata {It.},觸技曲,義
9447,toccatina {It.},小觸技曲,義
9448,tom-tom,筒狀鼓,英
9449,ton d' opéra {Fr.},歌劇音高,法
9450,ton de chambre {Fr.},室內音高,法
9451,ton de choeur {Fr.},歌隊音高；合唱團音高,法
9452,ton de même basse {Fr.},平行調(同主音調),法
9453,ton éloigné {Fr.},遠系調,法
9454,ton entier {Fr.},全音,法
9455,ton majeur {Fr.},大全音,法
9456,ton mineur {Fr.},小全音,法
9457,ton principal {Fr.},主調,法
9458,ton relatif {Fr.},關係調,法
9459,ton {Fr.},調,法
9460,Ton {Ger.},樂音,德
9461,Tonada,多納達舞曲,西
9462,Tonadilla,多納第雅小歌劇；多納第雅小歌曲,西
9463,tonal answer,主調答句,英
9464,tonal fugue,主調復格,英
9465,tonal fusion,音融合,英
9466,tonal gap,音隙,英
9467,tonal island,音島,英
9468,tonal penta-scale,主調五聲音階,英
9469,tonal sequence,主調模進,英
9470,Tonale Antwort {Ger.},主調答句,德
9471,tonalfuge {Ger.},主調復格,德
9472,tonalità maggiore {It.},大調,義
9473,tonalità minore {It.},小調,義
9474,tonalità {It.},調性,義
9475,Tonalität {Ger.},調性,德
9476,tonalité majeure {Fr.},大調,法
9477,tonalité mineure {Fr.},小調,法
9478,tonalité {Fr.},調性,法
9479,tonality,調性,英
9480,tonarium {Lat.},聖歌目錄,拉
9481,Tonart {Ger.},調,德
9482,Tonartencharakteristik {Ger.},調性特色,德
9483,Tonartvorzeichnung {Ger.},調號,德
9484,tonary,聖歌目錄,英
9485,Tonbandgerät {Ger.},磁帶錄音機,德
9486,Tondichtung {Ger.},音詩,德
9487,tone,音,英
9488,tone bell,音鐘,英
9489,tone brightness,明度感,英
9490,tone cluster,音簇；音堆,英
9491,tone color,音色,英
9492,tone detremination,律法,英
9493,tone painting,音畫,英
9494,tone poem,交響詩；音詩,英
9495,tone quality,音質,英
9496,tone row,音列,英
9497,tone-cluster,音簇；音堆,英
9498,Tone-deafness,音痴；音盲,英
9499,tone-formation,發音法,英
9500,tone-physicology,音響生理學,英
9501,tone-picture,音畫,英
9502,tone-relation,音關係,英
9503,tone-row,音列,英
9504,Tonempfindung {Ger.},音感覺,德
9505,Tonfarbe {Ger.},音色,德
9506,Tongeschlecht {Ger.},調性,德
9507,Tonglocke {Ger.},音鐘,德
9508,tonguing,運舌法,英
9509,Tonhöhe {Ger.},音高,德
9510,Tonhöhelinie {Ger.},音高線,德
9511,tonic,主音,英
9512,tonic harmony,主和聲,英
9513,tonic major,同主音大調,英
9514,tonic minor,同主音小調,英
9515,tonic pedal,主音持續音,英
9516,tonic seventh,主音七和弦（絃）,英
